R,Theta,Energy
5.0,80.0,13296.3
5.0,90.0,12669.6
5.0,100.0,13566.2
5.5,60.0,8192.8
5.5,80.0,4201.3
5.5,90.0,3923.2
5.5,100.0,4239.0
5.5,120.0,7091.8
6.0,40.0,9684.6
6.0,60.0,2247.9
6.0,80.0,780.0
6.0,90.0,684.1
6.0,100.0,787.6
6.0,120.0,1807.4
6.0,140.0,4728.6
6.0,160.0,9283.5
6.5,20.0,10758.0
6.5,40.0,2751.7
6.5,60.0,98.4
6.5,80.0,-333.3
6.5,90.0,-351.9
6.5,100.0,-323.4
6.5,120.0,-17.2
6.5,140.0,987.7
6.5,160.0,2639.5
6.5,180.0,3561.2
7.0,0.0,5216.5
7.0,20.0,2908.0
7.0,40.0,240.4
7.0,60.0,-524.3
7.0,80.0,-576.3
7.0,90.0,-567.9
7.0,95.0,-565.9
7.0,100.0,-564.2
7.0,105.0,-560.8
7.0,120.0,-512.8
7.0,140.0,-235.5
7.0,160.0,293.2
7.0,180.0,601.2
7.1,90.0,-569.8
7.1,95.0,-568.2
7.1,100.0,-567.7
7.1,105.0,-567.4
7.2,90.0,-564.0
7.2,95.0,-562.8
7.2,100.0,-563.4
7.2,105.0,-565.4
7.3,55.0,-584.5
7.3,60.0,-599.3
7.4,50.0,-575.3
7.4,55.0,-598.0
7.4,60.0,-600.5
7.5,0.0,851.7
7.5,20.0,195.1
7.5,40.0,-498.3
7.5,50.0,-593.5
7.5,55.0,-600.8
7.5,60.0,-593.8
7.5,80.0,-531.2
7.5,90.0,-516.9
7.5,100.0,-519.4
7.5,120.0,-546.2
7.5,140.0,-519.5
7.5,160.0,-397.9
7.5,180.0,-316.6
7.6,45.0,-586.4
7.6,50.0,-599.6
7.6,55.0,-595.7
7.7,50.0,-596.8
7.9,180.0,-490.3
8.0,0.0,-443.1
8.0,20.0,-551.4
8.0,40.0,-595.6
8.0,60.0,-498.1
8.0,80.0,-418.3
8.0,90.0,-404.8
8.0,100.0,-408.2
8.0,120.0,-449.2
8.0,140.0,-494.0
8.0,160.0,-503.9
8.0,180.0,-498.6
8.1,180.0,-498.5
8.2,180.0,-492.5
8.4,0.0,-662.1
8.5,0.0,-668.8
8.5,20.0,-625.9
8.5,40.0,-502.9
8.5,60.0,-378.4
8.5,80.0,-309.4
8.5,90.0,-299.1
8.5,100.0,-301.9
8.5,120.0,-338.8
8.5,140.0,-392.9
8.5,160.0,-434.8
8.5,180.0,-448.9
8.6,0.0,-664.2
9.0,0.0,-583.2
9.0,20.0,-515.2
9.0,40.0,-380.7
9.0,60.0,-275.6
9.0,80.0,-223.2
9.0,90.0,-215.9
9.0,100.0,-218.7
9.0,120.0,-247.0
9.0,140.0,-292.8
9.0,160.0,-333.8
9.0,180.0,-349.6
10.0,0.0,-315.5
10.0,20.0,-274.0
10.0,40.0,-198.1
10.0,60.0,-142.7
10.0,80.0,-117.0
10.0,90.0,-113.4
10.0,100.0,-114.9
10.0,120.0,-129.2
10.0,140.0,-155.0
10.0,160.0,-178.5
10.0,180.0,-188.4
12.0,0.0,-83.1
12.0,20.0,-74.2
12.0,40.0,-56.8
12.0,60.0,-43.1
12.0,80.0,-36.5
12.0,90.0,-35.6
12.0,100.0,-36.2
12.0,120.0,-40.5
12.0,140.0,-47.5
12.0,160.0,-54.0
12.0,180.0,-56.9
15.0,0.0,-17.8
15.0,20.0,-16.5
15.0,40.0,-13.5
15.0,60.0,-10.7
15.0,80.0,-9.5
15.0,90.0,-9.3
15.0,100.0,-9.5
15.0,120.0,-9.5
15.0,140.0,-10.8
15.0,160.0,-12.0
15.0,180.0,-12.6
