R(Angstrom),theta;0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
2;126501.49;111087.16;94843.48;77357.78;61489.51;48731.71;39404.28;33097.06;29185.37;27219.65;27243.13;30086.91;37717.35;53748.66;83979.2;140120.79;278556.28;723505.42;1290000
2.05;124049.66;101148.01;85357.58;68914.03;54193.89;42464.81;33960.77;28274.11;24816.63;23151.09;23281.69;25931.86;32875.21;47429.68;74938.18;125447.19;243217.09;588646.81;985000
2.1;122722.75;90723.09;76157.75;60988.09;47502.7;36835.4;29163.93;24087.13;21053.13;19645.75;19844.93;22282.57;28554.62;41687.55;66567.63;111803.3;211619.31;478778.43;759000
2.15;87114.99;80313.93;67367.78;53623.56;41419.14;31816.2;24960.03;20465.8;17819.71;16633.21;16872.64;19090.33;24717.85;36499.34;58872.08;99209.06;183616.37;389986.31;590000
2.2;75691.59;70356.49;59117.5;46858.29;35936.9;27371.56;21293.98;17343.83;15048.42;14050.14;14309.08;16307.93;21325.95;31837.16;51846.15;87666.22;158969.52;318524.38;462000
2.25;65428.87;61143.74;51512.34;40715.22;31037.81;23460.19;18110.41;14659.96;12678.33;11840.01;12103.58;13890.7;18339.91;27670.12;45474.75;77158.11;137388.6;261079;365000
2.3;56311.46;52813.6;44613.89;35196.88;26693.53;20037.24;15356.49;12358.57;10655.3;9952.64;10210.57;11797.09;15721.46;23964.32;39732.65;67652.72;118562.07;214852.46;291000
2.35;48282.53;45397.1;38439.95;30287.08;22867.77;17056.52;12982.51;10389.77;8931.58;8343.87;8589.34;9988.93;13433.81;20684.12;34587.91;59104.55;102180.14;177549.46;233000
2.4;41261.35;38864.94;32973.55;25954.73;19519.07;14472.28;10942.56;8709.3;7465.44;6975.01;7203.86;8431.52;11442.09;17793.31;30003.01;51459.04;87949.69;147322.4;189000
2.45;35156.15;33157.08;28174.98;22158.74;16603.48;12240.56;9194.86;7278.12;6220.53;5812.33;6022.34;7093.61;9713.73;15256;25937.05;44654.89;75602.7;122703.08;154000
2.5;29872.24;28200.02;23991.32;18852.47;14076.72;10320.14;7701.78;6062;5165.42;4826.59;5016.9;5947.21;8218.62;13037.4;22347.54;38627.19;64898.73;102536.78;126000
2.55;25317.14;23915.99;20364.22;15987.28;11895.89;8673;6429.66;5031.03;4272.95;3992.48;4163.17;4967.41;6929.16;11104.34;19191.85;33309.8;55626.34;85920.73;104000
2.6;21403.68;20228.56;17234.17;13515.03;10020.52;7264.59;5348.64;4159.07;3519.66;3288.13;3439.86;4132.1;5820.32;9425.74;16428.26;28637.32;47600.41;72151.5;86300
2.65;18051.51;17065.54;14543.6;11389.83;8413.23;6063.75;4432.32;3423.38;2885.32;2694.67;2828.46;3421.78;4869.5;7972.76;14016.85;24546.46;40659.72;60680.26;71800
2.7;15187.77;14360.51;12238.6;9569.05;7040;5042.71;3657.5;2804.17;2352.45;2195.83;2312.9;2819.31;4056.49;6718.95;11919.95;20977.05;34664.02;51078.92;59800
2.75;12747.23;12053.41;10269.81;8013.81;5870.19;4176.83;3003.91;2284.25;1905.97;1777.6;1879.25;2309.63;3363.26;5640.28;10102.52;17872.7;29491.2;43011.23;50000
2.8;10672.01;10090.58;8592.77;6689.15;4876.47;3444.4;2453.88;1848.79;1532.88;1427.87;1515.45;1879.65;2773.82;4715.03;8532.28;15181.18;25034.73;36211.21;41800
2.85;8911.17;8424.52;7167.82;5563.89;4034.61;2826.41;1992.13;1484.98;1221.96;1136.27;1211.12;1517.93;2274.09;3923.72;7179.78;12854.53;21201.57;30466.62;35000
2.9;7420.14;7013.44;5959.93;4610.49;3323.28;2306.29;1605.46;1181.86;963.62;893.85;957.31;1214.56;1851.67;3248.98;6018.33;10849.11;17910.29;25606.28;29300
2.95;6160.15;5820.83;4938.37;3804.73;2723.8;1869.66;1282.55;930.04;749.65;692.99;746.35;960.96;1495.7;2675.38;5023.88;9125.46;15089.56;21490.63;24500
3;5097.57;4814.91;4076.28;3125.46;2219.9;1504.12;1013.69;721.53;573.03;527.17;571.65;749.74;1196.73;2189.26;4174.95;7648.12;12676.89;18004.69;20500
