R,Theta,Energy
4.5,60.0,7383.1
4.5,80.0,4465.3
4.5,90.0,4203.2
4.5,100.0,4430.4
4.5,120.0,6966.7
4.5,160.0,14287.1
5.0,40.0,8251.8
5.0,60.0,2525.8
5.0,80.0,1427.9
5.0,90.0,1323.6
5.0,100.0,1396.6
5.0,120.0,2325.3
5.0,140.0,5069.4
5.0,160.0,9469.1
5.5,40.0,2741.6
5.5,60.0,701.7
5.5,80.0,339.9
5.5,90.0,304.7
5.5,100.0,325.8
5.5,120.0,639.2
5.5,140.0,1609.6
5.5,160.0,3174.9
5.5,180.0,4050.3
6.0,0.0,5755.0
6.0,20.0,3243.5
6.0,40.0,723.4
6.0,60.0,84.3
6.0,80.0,-8.8
6.0,90.0,-17.6
6.0,100.0,-13.0
6.0,120.0,78.4
6.0,140.0,393.6
6.0,160.0,921.2
6.0,180.0,1218.4
6.5,0.0,1582.0
6.5,20.0,814.1
6.5,40.0,66.3
6.5,60.0,-87.9
6.5,80.0,-94.5
6.5,90.0,-94.1
6.5,100.0,-94.7
6.5,120.0,-77.2
6.5,140.0,8.9
6.5,160.0,169.4
6.5,180.0,262.8
6.7,105.0,-100.0
6.7,110.0,-99.6
6.7,115.0,-98.0
6.8,105.0,-100.0
6.8,110.0,-100.4
6.8,115.0,-99.9
6.9,105.0,-99.5
6.9,110.0,-99.6
6.9,115.0,-100.0
6.9,120.0,-99.4
7.0,0.0,266.0
7.0,20.0,66.1
7.0,40.0,-104.6
7.0,60.0,-111.3
7.0,80.0,-96.2
7.0,90.0,-94.4
7.0,100.0,-95.1
7.0,115.0,-98.7
7.0,120.0,-99.1
7.0,140.0,-86.4
7.0,160.0,-48.7
7.0,180.0,-24.3
7.5,0.0,-83.1
7.5,20.0,-114.9
7.5,40.0,-120.7
7.5,60.0,-93.5
7.5,80.0,-77.1
7.5,90.0,-74.7
7.5,100.0,-75.8
7.5,120.0,-83.9
7.5,140.0,-91.2
7.5,160.0,-90.3
7.5,180.0,-87.3
7.6,180.0,-89.3
7.7,180.0,-89.6
7.8,180.0,-88.5
7.9,0.0,-135.1
8.0,0.0,-135.9
8.0,20.0,-126.7
8.0,40.0,-97.7
8.0,60.0,-69.9
8.0,80.0,-56.7
8.0,90.0,-55.1
8.0,100.0,-55.9
8.0,120.0,-63.5
8.0,140.0,-73.5
8.0,160.0,-81.2
8.0,180.0,-83.6
8.1,0.0,-134.3
8.5,0.0,-114.4
8.5,20.0,-99.7
8.5,40.0,-71.2
8.5,60.0,-50.2
8.5,80.0,-40.8
8.5,90.0,-39.6
8.5,100.0,-40.2
8.5,120.0,-45.8
8.5,140.0,-54.6
8.5,160.0,-62.4
8.5,180.0,-65.5
9.0,0.0,-83.1
9.0,20.0,-71.3
9.0,40.0,-50.3
9.0,60.0,-35.7
9.0,80.0,-29.2
9.0,90.0,-28.4
9.0,100.0,-28.8
9.0,120.0,-32.8
9.0,140.0,-39.4
9.0,160.0,-45.6
9.0,180.0,-48.1
10.0,0.0,-40.0
10.0,20.0,-34.6
10.0,40.0,-25.1
10.0,60.0,-18.3
10.0,80.0,-15.3
10.0,90.0,-14.9
10.0,100.0,-15.1
10.0,120.0,-17.1
10.0,140.0,-20.4
10.0,160.0,-23.6
10.0,180.0,-24.9
12.0,0.0,-10.8
12.0,20.0,-9.7
12.0,40.0,-7.5
12.0,60.0,-5.7
12.0,80.0,-4.9
12.0,90.0,-4.7
12.0,100.0,-4.8
12.0,120.0,-5.3
12.0,140.0,-6.2
12.0,160.0,-7.1
12.0,180.0,-7.4
