R,Theta,Energy
5.5,80.0,7956.8
5.5,90.0,7491.0
5.5,100.0,7988.3
5.5,120.0,12307.2
6.0,60.0,4815.5
6.0,80.0,2139.7
6.0,90.0,1952.4
6.0,100.0,2127.7
6.0,120.0,3804.6
6.0,140.0,8413.5
6.5,40.0,5789.8
6.5,60.0,947.0
6.5,80.0,9.3
6.5,90.0,-44.3
6.5,100.0,12.3
6.5,120.0,585.6
6.5,140.0,2323.6
6.5,160.0,5076.9
6.5,180.0,6590.4
7.0,0.0,10022.2
7.0,20.0,6097.6
7.0,40.0,1268.0
7.0,60.0,-386.6
7.0,80.0,-616.4
7.0,90.0,-616.5
7.0,100.0,-601.6
7.0,120.0,-454.9
7.0,140.0,110.7
7.0,160.0,1093.8
7.0,180.0,1648.3
7.2,100.0,-663.4
7.3,100.0,-673.2
7.3,105.0,-671.4
7.3,110.0,-666.6
7.4,65.0,-704.5
7.4,100.0,-673.0
7.4,105.0,-673.8
7.4,110.0,-673.4
7.5,0.0,2477.7
7.5,20.0,1209.3
7.5,40.0,-304.1
7.5,55.0,-674.9
7.5,60.0,-705.6
7.5,65.0,-712.9
7.5,80.0,-682.8
7.5,90.0,-666.2
7.5,100.0,-664.7
7.5,105.0,-667.8
7.5,110.0,-670.7
7.5,120.0,-666.2
7.5,140.0,-542.5
7.5,160.0,-251.2
7.5,180.0,-75.0
7.6,55.0,-700.6
7.6,60.0,-714.5
7.6,65.0,-710.9
7.7,55.0,-712.6
7.7,60.0,-713.0
7.7,65.0,-701.1
7.8,55.0,-713.3
7.9,55.0,-705.7
8.0,0.0,-93.2
8.0,20.0,-399.9
8.0,40.0,-697.1
8.0,60.0,-668.1
8.0,80.0,-577.0
8.0,90.0,-557.4
8.0,100.0,-559.7
8.0,120.0,-601.9
8.0,140.0,-625.7
8.0,160.0,-584.7
8.0,180.0,-548.3
8.2,180.0,-588.6
8.3,180.0,-592.3
8.4,180.0,-587.9
8.5,0.0,-761.7
8.5,20.0,-761.0
8.5,40.0,-676.1
8.5,60.0,-535.9
8.5,80.0,-442.0
8.5,90.0,-426.5
8.5,100.0,-428.6
8.5,120.0,-473.9
8.5,140.0,-534.3
8.5,160.0,-569.6
8.5,180.0,-577.4
8.7,0.0,-812.4
8.8,0.0,-814.1
8.9,0.0,-804.6
9.0,0.0,-786.7
9.0,20.0,-708.6
9.0,40.0,-544.3
9.0,60.0,-402.2
9.0,80.0,-327.3
9.0,90.0,-314.0
9.0,100.0,-315.8
9.0,120.0,-353.6
9.0,140.0,-412.8
9.0,160.0,-460.6
9.0,180.0,-478.2
10.0,0.0,-472.1
10.0,20.0,-410.3
10.0,40.0,-297.4
10.0,60.0,-213.2
10.0,80.0,-172.9
10.0,90.0,-166.5
10.0,100.0,-167.8
10.0,120.0,-188.1
10.0,140.0,-224.1
10.0,160.0,-256.7
10.0,180.0,-269.8
12.0,0.0,-128.7
12.0,20.0,-113.9
12.0,40.0,-86.3
12.0,60.0,-64.4
12.0,80.0,-53.6
12.0,90.0,-50.9
12.0,100.0,-52.5
12.0,120.0,-58.7
12.0,140.0,-68.9
12.0,160.0,-78.5
12.0,180.0,-82.5
16.0,0.0,-17.1
16.0,20.0,-15.7
16.0,40.0,-12.8
16.0,60.0,-10.2
16.0,80.0,-8.6
16.0,90.0,-7.7
16.0,100.0,-8.5
16.0,120.0,-9.5
16.0,140.0,-10.8
16.0,160.0,-12.0
16.0,180.0,-12.6
