R,Theta,Energy
4.5,80.0,8979.2
4.5,90.0,8505.2
4.5,100.0,9190.0
4.5,120.0,15236.8
5.0,60.0,5195.1
5.0,80.0,2728.0
5.0,90.0,2533.9
5.0,100.0,2751.4
5.0,120.0,4897.2
5.0,140.0,10911.3
5.5,40.0,5976.1
5.5,60.0,1387.6
5.5,80.0,562.7
5.5,90.0,495.2
5.5,100.0,557.1
5.5,120.0,1259.9
5.5,140.0,3332.4
5.5,160.0,6649.1
5.5,180.0,8511.0
6.0,0.0,13092.4 
6.0,20.0,7297.3
6.0,40.0,1597.2
6.0,60.0,125.9
6.0,80.0,-96.7
6.0,90.0,-114.1
6.0,100.0,-101.1
6.0,120.0,94.7
6.0,140.0,746.8
6.0,160.0,1836.2
6.0,180.0,2453.7
6.5,0.0,3663.0
6.5,20.0,1887.3
6.5,40.0,166.1
6.5,60.0,-212.4
6.5,80.0,-237.6
6.5,90.0,-238.4
6.5,100.0,-239.2
6.5,105.0,-237.7
6.5,110.0,-233.3
6.5,115.0,-224.0
6.5,120.0,-207.9
6.5,140.0,-40.8
6.5,160.0,276.9
6.5,180.0,463.3
6.55,105.0,-240.8
6.6,105.0,-242.6
6.6,107.5,-242.1
6.6,110.0,-240.8
6.65,105.0,-243.3
6.65,107.5,-243.2
6.65,110.0,-242.7
6.7,105.0,-242.9
6.7,107.5,-243.2
6.7,110.0,-243.3
6.75,107.5,-242.4
6.75,110.0,-242.9
6.8,60.0,-250.5
6.9,55.0,-251.8
6.9,60.0,-250.8
7.0,0.0,684.2
7.0,20.0,208.6
7.0,40.0,-209.6
7.0,45.0,-239.3
7.0,50.0,-251.3
7.0,55.0,-252.2
7.0,60.0,-247.3
7.0,80.0,-221.4
7.0,90.0,-218.4
7.0,100.0,-222.4
7.0,120.0,-236.2
7.0,140.0,-219.4
7.0,160.0,-154.0
7.0,180.0,-111.5
7.1,45.0,-249.0
7.1,50.0,-252.9
7.1,55.0,-249.0
7.1,60.0,-241.0
7.2,45.0,-252.7
7.2,50.0,-250.3
7.3,45.0,-251.0
7.4,180.0,-215.6
7.5,0.0,-121.6
7.5,20.0,-209.9
7.5,40.0,-247.6
7.5,60.0,-201.5
7.5,80.0,-170.4
7.5,90.0,-167.5
7.5,100.0,-171.3
7.5,120.0,-193.3
7.5,140.0,-215.5
7.5,160.0,-222.0
7.5,180.0,-221.4
7.6,180.0,-222.1
7.7,180.0,-219.4
7.9,0.0,-254.2
8.0,0.0,-259.3
8.0,20.0,-248.4
8.0,40.0,-199.5
8.0,60.0,-147.1
8.0,80.0,-123.9
8.0,90.0,-121.5
8.0,100.0,-124.6
8.0,120.0,-142.4
8.0,140.0,-170.1
8.0,160.0,-190.9
8.0,180.0,-198.9
8.1,0.0,-258.6
8.5,0.0,-224.1
8.5,20.0,-196.9
8.5,40.0,-143.6
8.5,60.0,-104.1
8.5,80.0,-86.6
8.5,90.0,-85.4
8.5,100.0,-88.0
8.5,120.0,-102.5
8.5,140.0,-123.7
8.5,160.0,-143.6
8.5,180.0,-151.5
9.0,0.0,-163.9
9.0,20.0,-141.2
9.0,40.0,-101.4
9.0,60.0,-72.6
9.0,80.0,-60.4
9.0,90.0,-59.8
9.0,100.0,-62.0
9.0,120.0,-72.0
9.0,140.0,-87.3
9.0,160.0,-102.7
9.0,180.0,-108.9
10.0,0.0,-81.2
10.0,20.0,-70.0
10.0,40.0,-51.0
10.0,60.0,-37.6
10.0,80.0,-31.8
10.0,90.0,-31.3
10.0,100.0,-32.2
10.0,120.0,-35.5
10.0,140.0,-43.6
10.0,160.0,-50.6
10.0,180.0,-53.6
12.0,0.0,-24.6
12.0,20.0,-22.0
12.0,40.0,-16.8
12.0,60.0,-12.4
12.0,80.0,-10.0
12.0,90.0,-9.4
12.0,100.0,-9.2
12.0,120.0,-9.8
12.0,140.0,-11.2
12.0,160.0,-12.7
12.0,180.0,-13.3
