R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
2.0000;161832.9189;153991.6313;133250.0293;106338.3724;80275.3298;59380.9359;44752.7464;35536.1615;30344.5933;28086.3784;28374.5802;31861.5801;40743.3443;59707.0297;97182.4169;164227.1339;263548.5064;366711.7566;412940.7130
2.0500;137721.5051;131031.9997;113339.0087;90387.4130;68165.8778;50359.2431;37903.8397;30071.3335;25680.1088;23803.7062;24129.2452;27258.9614;35163.8354;52024.4540;85325.4544;144824.7683;232800.1627;324007.2415;364831.4668
2.1000;117116.0715;111412.6607;96329.4013;76766.8586;57831.4854;42664.5487;32064.7868;25412.0653;21699.7696;20141.3504;20483.4418;23276.6656;30281.8022;45211.9236;74683.8179;127270.0689;204872.6501;285175.1229;321077.6174
2.1500;99516.1994;94656.5883;81806.2105;65142.6180;49017.0852;36105.9291;27090.4316;21443.0577;18306.5418;17012.8615;17356.4554;19836.6445;26019.8172;39191.3178;65178.0554;111481.1142;179677.0269;250113.6519;281569.8365
2.2000;84491.8212;80353.8617;69412.9239;55227.7991;41503.7145;30519.4777;22856.0781;18065.1294;15416.7709;14343.4264;14677.9216;16869.8459;22307.3427;33887.3024;56723.0579;97354.3596;157078.4486;218650.0703;246116.6814
2.2500;71673.4575;68152.3454;58843.3731;46776.1199;35103.4658;25764.5324;19254.6526;15193.0103;12958.3861;12068.3580;12386.5743;14315.3157;19080.4667;29228.3575;49231.7862;84773.5585;136913.2095;190566.3016;214474.1889
2.3000;60743.7928;57749.6482;49834.7137;39576.2302;29655.1360;21720.4236;16194.2551;12753.4310;10869.3384;10131.7715;10429.1339;12119.3627;16281.5586;25147.4255;42617.9806;73616.4193;119001.5278;165618.2264;186368.0685
2.3500;51430.4096;48886.1895;42161.3736;33446.8189;25020.4793;18283.6724;13596.0445;10683.4698;9096.2436;8485.4281;8759.3204;10234.7884;13858.8743;21582.2708;36798.0785;63759.4872;103156.9936;143549.9342;161510.1047
2.4000;43499.5226;41339.2208;35629.8380;28232.3995;21080.9806;15365.5768;11392.4157;8929.1223;7593.2047;7087.7241;7336.9805;8620.1819;11766.1344;18475.6229;31692.5191;55081.6391;89193.4128;124104.0612;139610.0528
2.4500;36750.5774;34917.6725;30074.1550;23799.6808;17735.0772;12890.1330;9525.4266;7444.0655;6320.7891;5902.8088;6127.3165;7239.2760;9962.0921;15775.1607;27226.5761;47466.5074;76929.6345;107029.1026;120384.0502
2.5000;31011.5946;29457.7124;25352.0648;20034.4416;14895.7678;10792.2453;7945.4417;6188.5891;5245.1428;4899.8154;5100.2051;6060.3640;8410.1048;13433.3830;23330.8343;40804.0789;66192.8280;92084.4001;103560.3553
2.5500;26135.1589;24818.9200;21341.6656;16838.8411;12488.5547;9016.1853;6609.9638;5128.6728;4337.2223;4052.1911;4229.5995;5055.7731;7077.7159;11407.4002;19941.3993;34991.6700;56820.5800;79043.3623;88883.0553
2.6000;21994.9634;20880.9915;17938.5437;14129.1036;10449.6735;7514.2662;5482.6273;4235.1899;3572.1296;3337.1142;3493.0021;4201.3908;5936.2566;9658.6735;16999.9106;29934.4321;48662.1028;67695.3561;76114.2468
2.6500;18482.8340;17540.9021;15053.3021;11833.5272;8724.5708;6245.7018;4532.3305;3483.2199;2928.5370;2734.9872;2871.0027;3476.2398;4960.4688;8152.7235;14453.4148;25545.5109;41578.7838;57846.6124;65035.0862
2.7000;15506.1681;14710.4635;12609.4352;9890.7704;7266.5943;5175.6257;3732.4899;2851.4556;2388.1894;2228.9964;2346.8732;2862.0987;4128.1536;6858.8238;12254.1411;21745.9564;35444.2555;49320.4147;55446.0165
2.7500;12985.7298;12314.2226;10541.4992;8248.3793;6035.8677;4274.2475;3060.3970;2321.6922;1935.4740;1804.7297;1906.2133;2343.1644;3419.8457;5749.6895;10359.2131;18464.4574;30144.1238;41956.7768;47166.4100
2.8000;10853.7527;10287.6531;8793.5397;6861.5212;4998.3237;3516.1279;2496.6663;1878.3867;1557.0493;1449.8453;1536.6404;1905.7511;2818.5144;4801.1718;8730.3210;15636.9578;25575.4636;35611.7708;40033.8096
2.8500;9052.3091;8575.6005;7317.7394;5691.8962;4124.8721;2879.5556;2024.7598;1508.2795;1241.5245;1153.7845;1227.5191;1538.0245;2309.2901;3991.9622;7333.3751;13206.1997;21646.1610;30156.6261;33902.9083
2.9000;7531.9066;7130.9451;6073.2553;4706.8024;3390.6869;2346.0120;1630.5783;1200.0674;979.1826;907.5228;969.7251;1229.7665;1879.2166;3303.3118;6138.1533;11121.2251;18274.1670;25476.6910;28644.3715
2.9500;6250.2827;5913.4533;5025.2206;3878.3325;2774.5926;1899.7120;1302.1107;944.1232;761.7424;703.3552;755.4398;972.1671;1517.0273;2718.7680;5117.9529;9336.8610;15386.7049;21470.3254;24143.5810
3.0000;5171.3689;4888.7904;4143.8865;3182.6845;2258.5388;1527.2089;1029.1327;732.2542;582.1533;534.7102;577.9716;757.6418;1212.9433;2223.9293;4249.2553;7813.2058;12919.4690;18047.7745;20299.3571
3.0500;4264.4003;4027.6724;3403.8859;2599.5700;1827.1482;1217.0566;802.9476;557.4950;434.4181;395.9890;431.6006;579.6707;958.4931;1806.2205;3511.4063;6515.1304;10815.8348;15130.0586;17022.6991
3.1000;3503.1520;3305.1386;2783.6012;2111.7059;1467.3295;959.5185;616.1645;413.9291;313.4414;282.4273;311.4436;432.6577;746.3514;1454.6858;2886.3174;5411.8008;9026.1007;12647.9043;14235.5732
3.1500;2865.2831;2699.9262;2264.6217;1704.3791;1167.9455;746.3193;462.5081;296.5363;214.8985;189.9756;213.3372;311.8066;570.1958;1159.8018;2358.1876;4476.2300;7506.7697;10540.7324;11869.7654
3.2000;2331.7738;2193.9350;1831.2783;1365.0728;919.5279;570.4307;336.6547;201.0613;135.1235;115.1963;133.7369;213.0135;424.5790;913.3082;1913.2484;3684.8602;6219.8795;8755.7139;9865.8108
3.2500;1886.4432;1771.7672;1470.2447;1083.1464;714.0342;425.8894;234.0930;123.9012;71.0124;55.1753;69.6289;132.7723;304.8169;708.0551;1539.5305;3017.1791;5132.3835;7246.8973;8172.0065
3.3000;1515.5352;1420.3336;1170.1954;849.5612;544.6380;307.6398;151.0041;62.0094;19.9407;7.4455;18.4550;68.0926;206.8886;537.8666;1226.6520;2455.3687;4215.5840;5974.4110;6743.5073
3.3500;1207.3640;1128.5159;921.5127;656.6456;405.5502;211.4007;84.1585;12.8129;-20.3075;-30.0785;-21.9530;16.4283;127.3493;397.4194;965.6282;1983.9863;3444.6175;4903.7391;5541.5066
3.4000;952.0107;886.8775;716.0359;497.8934;291.8664;133.5499;30.8290;-25.8586;-51.6006;-59.1567;-53.4298;-24.3848;63.2533;282.1339;748.6997;1589.6777;2797.9904;4005.0675;4532.4968
3.4500;741.0628;687.4160;546.8467;367.7924;199.4354;71.0266;-11.2847;-55.8324;-75.5112;-81.2719;-77.5253;-56.1824;12.0864;188.0788;569.1797;1260.9193;2257.1613;3252.6979;3687.6069
3.5000;567.3920;523.3510;408.0851;261.6765;124.7473;21.2472;-44.1202;-78.6453;-93.3608;-97.6712;-95.5457;-80.5191;-28.2926;111.8860;421.3176;987.7876;1806.1685;2624.5253;2982.0117
3.5500;424.9635;388.9431;294.7926;175.6003;64.8380;-17.9659;-69.3069;-95.5870;-106.2575;-109.4012;-108.5903;-98.7083;-59.7038;50.6759;300.1782;761.7546;1431.2992;2101.5726;2394.4067
