# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 4.72945900e+00  5.99718891e+01  4.67861249e+00  1.05313137e+02  1.42455486e+01  5.21302621e+01  1.42011651e+01  2.00260284e+01  8.45462766e+00  8.67932122e+00  4.48368000e+00  4.41859670e+00  2.06415433e+00  2.14752125e+00  9.99500374e-01  8.01350330e-01  4.96168634e-01  1.00382414e-02  3.23531954e-01 -9.72671222e-02
 4.78156300e+00  5.48529193e+01  3.26645858e+00  9.68759100e+01  1.21410705e+01  4.75355434e+01  1.24780007e+01  1.78191610e+01  7.30229168e+00  7.55237557e+00  3.76979437e+00  3.72121715e+00  1.68817239e+00  1.77113578e+00  7.85053790e-01  6.17692744e-01  4.17004699e-01 -4.75332557e-02  2.90303416e-01 -1.34367190e-01
 4.83366700e+00  5.00601403e+01  2.02688587e+00  8.89522915e+01  1.02559015e+01  4.32676646e+01  1.09196344e+01  1.58388407e+01  6.27253761e+00  6.53794212e+00  3.14714982e+00  3.11377745e+00  1.36746841e+00  1.44677318e+00  6.07269888e-01  4.66995617e-01  3.50824942e-01 -9.39714463e-02  2.82754386e-01 -1.65044759e-01
 4.88577200e+00  4.56193165e+01  9.66881928e-01  8.15832931e+01  8.59947116e+00  3.93490008e+01  9.53488031e+00  1.40891344e+01  5.37169919e+00  5.64354568e+00  2.61861103e+00  2.59814731e+00  1.10261713e+00  1.17510177e+00  4.65845953e-01  3.48918697e-01  2.96531762e-01 -1.27808408e-01  2.96079697e-01 -1.87853377e-01
 4.93787600e+00  4.15334085e+01  8.05895857e-02  7.47740555e+01  7.16446315e+00  3.57777742e+01  8.31985057e+00  1.25553955e+01  4.59671895e+00  4.86762341e+00  2.17964651e+00  2.16855095e+00  8.89528876e-01  9.52065707e-01  3.57661381e-01  2.60674442e-01  2.52181671e-01 -1.48558736e-01  3.21668221e-01 -2.01243463e-01
 4.98998000e+00  3.77875882e+01 -6.47358934e-01  6.85019616e+01  5.93138275e+00  3.25340723e+01  7.26139690e+00  1.12110107e+01  3.93734903e+00  4.20163678e+00  1.82030183e+00  1.81407014e+00  7.20958817e-01  7.70627690e-01  2.77550811e-01  1.97637073e-01  2.15515307e-01 -1.56827722e-01  3.49701395e-01 -2.04262453e-01
 5.04208400e+00  3.43571422e+01 -1.23722820e+00  6.27293024e+01  4.87478628e+00  2.95886584e+01  6.34181168e+00  1.00256738e+01  3.37939038e+00  3.63317400e+00  1.52793127e+00  1.52180687e+00  5.88416888e-01  6.22858536e-01  2.19370857e-01  1.54222371e-01  1.84493600e-01 -1.54228116e-01  3.71763329e-01 -1.97094393e-01
 5.09418800e+00  3.12142490e+01 -1.71013175e+00  5.74139449e+01  3.96860206e+00  2.69103640e+01  5.54273175e+00  8.97182600e+00  2.90762042e+00  3.14869160e+00  1.28964487e+00  1.27947328e+00  4.83763555e-01  5.01575747e-01  1.77021882e-01  1.24773660e-01  1.57632873e-01 -1.43129963e-01  3.82545803e-01 -1.81219723e-01
 5.14629300e+00  2.83324832e+01 -2.08533874e+00  5.25162282e+01  3.18952965e+00  2.44707403e+01  4.84750645e+00  8.02800172e+00  2.50783503e+00  2.73535758e+00  1.09397675e+00  1.07688365e+00  4.00170449e-01  4.01196127e-01  1.45220582e-01  1.04279882e-01  1.34078032e-01 -1.26297539e-01  3.80283139e-01 -1.59157544e-01
 5.19839700e+00  2.56890259e+01 -2.37906168e+00  4.80021757e+01  2.51843495e+00  2.22460005e+01  4.24206059e+00  7.17928080e+00  2.16787935e+00  2.38193427e+00  9.31660178e-01  9.06352905e-01  3.32431091e-01  3.17838100e-01  1.19926310e-01  8.88213534e-02  1.13470037e-01 -1.06499779e-01  3.66124601e-01 -1.33933180e-01
 5.25050100e+00  2.32644498e+01 -2.60444324e+00  4.38428337e+01  1.94010805e+00  2.02164542e+01  3.71459359e+00  6.41568836e+00  1.87778519e+00  2.07886451e+00  7.95648515e-01  7.62313770e-01  2.76799852e-01  2.48926164e-01  9.84295851e-02  7.57231217e-02  9.57170228e-02 -8.61702263e-02  3.42965003e-01 -1.08479527e-01
 5.30260500e+00  2.10421480e+01 -2.77204772e+00  4.00132245e+01  1.44246790e+00  1.83655295e+01  3.25502693e+00  5.73019258e+00  1.62953136e+00  1.81809652e+00  6.80770598e-01  6.40684519e-01  2.30646871e-01  1.92663878e-01  7.92025937e-02  6.34748047e-02  8.07864567e-02 -6.71797277e-02  3.14260894e-01 -8.51662514e-02
 5.35470900e+00  1.90073330e+01 -2.89052246e+00  3.64907226e+01  1.01559956e+00  1.66785469e+01  2.85444988e+00  5.11693589e+00  1.41662013e+00  1.59281021e+00  5.83241148e-01  5.38264461e-01  1.92098297e-01  1.47580737e-01  6.16128359e-02  5.14952524e-02  6.85720447e-02 -5.07384800e-02  2.83165007e-01 -6.55457822e-02
