# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh c19_mEh c20_mEh c21_mEh c22_mEh c23_mEh c24_mEh c25_mEh
 4.72945900e+00  5.97477055e+01  4.24457887e+00  1.04345474e+02  1.32354575e+01  5.09958806e+01  1.31508036e+01  1.86709696e+01  7.25235839e+00  7.66965392e+00  3.60246967e+00  3.46246624e+00  1.39149373e+00  1.45651344e+00  8.59889415e-01  5.86555122e-01  1.50080164e-01 -1.06190722e-02  3.99116157e-01  1.41387587e-01  2.79719163e-03  1.77438448e-01 -1.05773963e-01  5.01945398e-01 -6.20689872e-02  2.66788280e-01 -3.30370938e-02
 4.78156300e+00  5.48129053e+01  3.07998818e+00  9.64274212e+01  1.15932957e+01  4.69642974e+01  1.18838236e+01  1.70852245e+01  6.59510601e+00  7.00809952e+00  3.28328619e+00  3.17383032e+00  1.27930649e+00  1.39673831e+00  6.92526970e-01  4.35706562e-01  2.64383280e-01 -9.92875103e-02  3.43695588e-01 -2.05653942e-02 -2.02795467e-02  8.14253767e-02 -4.53427394e-02  3.17550722e-01 -4.33186070e-02  1.59170490e-01 -2.45580793e-02
 4.83366700e+00  5.00787490e+01  1.99288476e+00  8.87839056e+01  1.00083132e+01  4.30571157e+01  1.06452303e+01  1.55338085e+01  5.91883873e+00  6.32922372e+00  2.94813504e+00  2.86945202e+00  1.16028327e+00  1.30583763e+00  5.55642875e-01  3.26541878e-01  3.11158248e-01 -1.73015223e-01  3.14063279e-01 -1.45886870e-01 -4.60745290e-02  5.54945853e-03 -5.25467438e-03  1.74727711e-01 -3.30733757e-02  8.20249214e-02 -2.57516158e-02
 4.88577200e+00  4.56341011e+01  1.01117330e+00  8.15303689e+01  8.52141134e+00  3.93377464e+01  9.45936185e+00  1.40400764e+01  5.24168054e+00  5.65417274e+00  2.60486890e+00  2.55270531e+00  1.03102701e+00  1.18213175e+00  4.49721351e-01  2.53433758e-01  3.05670945e-01 -2.22793186e-01  3.07608503e-01 -2.30611573e-01 -6.59325526e-02 -4.71644543e-02  1.27360235e-02  7.41401828e-02 -2.84634966e-02  3.07890941e-02 -2.98984796e-02
 4.93787600e+00  4.15289672e+01  1.52581391e-01  7.47443696e+01  7.16364642e+00  3.58531552e+01  8.34864878e+00  1.26261823e+01  4.58734812e+00  5.00403115e+00  2.26546274e+00  2.23301806e+00  8.93164468e-01  1.03310287e+00  3.70210304e-01  2.06911117e-01  2.68789115e-01 -2.45573108e-01  3.16582363e-01 -2.76053624e-01 -7.56447230e-02 -7.89454475e-02  1.12061348e-02  1.15205775e-02 -2.66220512e-02 -1.05613669e-03 -3.33704816e-02
 4.98998000e+00  3.77695284e+01 -5.77816055e-01  6.84543930e+01  5.95064466e+00  3.26266266e+01  7.32937603e+00  1.13091593e+01  3.97834320e+00  4.39525891e+00  1.94294198e+00  1.92303334e+00  7.53532510e-01  8.72943736e-01  3.09685604e-01  1.77061084e-01  2.20243485e-01 -2.44820535e-01  3.31422808e-01 -2.88248560e-01 -7.63565798e-02 -9.53630341e-02 -3.49015155e-03 -2.11047689e-02 -2.57424758e-02 -1.97005060e-02 -3.55548767e-02
 5.04208400e+00  3.43327993e+01 -1.18496281e+00  6.26504810e+01  4.88394083e+00  2.96611376e+01  6.41017854e+00  1.00995275e+01  3.43031459e+00  3.83812128e+00  1.64814331e+00  1.63444401e+00  6.21245541e-01  7.16959585e-01  2.61135333e-01  1.56156618e-01  1.73859742e-01 -2.27844423e-01  3.44070333e-01 -2.76065833e-01 -7.21001614e-02 -1.02018442e-01 -2.37234322e-02 -3.30846200e-02 -2.51451726e-02 -2.96386445e-02 -3.71723977e-02
 5.09418800e+00  3.11859297e+01 -1.67941393e+00  5.73031863e+01  3.95588553e+00  2.69474023e+01  5.59268182e+00  9.00169985e+00  2.95010581e+00  3.33747036e+00  1.38774958e+00  1.37518578e+00  5.04058130e-01  5.76785364e-01  2.19866813e-01  1.39412021e-01  1.36496298e-01 -2.02312724e-01  3.49604437e-01 -2.48853996e-01 -6.67117150e-02 -1.02633522e-01 -4.31020202e-02 -3.29206183e-02 -2.47394405e-02 -3.36930923e-02 -3.86885401e-02
 5.14629300e+00  2.82991204e+01 -2.07380532e+00  5.23790841e+01  3.15452885e+00  2.44710819e+01  4.87329049e+00  8.01520751e+00  2.53714349e+00  2.89422425e+00  1.16404600e+00  1.14888493e+00  4.06198756e-01  4.58511982e-01  1.83555032e-01  1.24411220e-01  1.09614077e-01 -1.74021313e-01  3.46202046e-01 -2.14558165e-01 -6.22212508e-02 -9.91394111e-02 -5.76731287e-02 -2.69592181e-02 -2.45435748e-02 -3.36877110e-02 -3.97944071e-02
 5.19839700e+00  2.56499069e+01 -2.38095163e+00  4.78483183e+01  2.46674585e+00  2.22167857e+01  4.24516174e+00  7.13598650e+00  2.18618096e+00  2.50654375e+00  9.75884115e-01  9.55735097e-01  3.28193861e-01  3.63321458e-01  1.51384910e-01  1.10223201e-01  9.15768192e-02 -1.46372527e-01  3.34267669e-01 -1.78813330e-01 -5.88691293e-02 -9.26336797e-02 -6.58421352e-02 -1.91378230e-02 -2.45242120e-02 -3.09621624e-02 -3.97563610e-02
