# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 4.72945900e+00  5.99030064e+01  4.67253340e+00  1.04990663e+02  1.41462115e+01  5.20918848e+01  1.41820800e+01  1.95697504e+01  8.56397080e+00  8.59157693e+00  4.62352216e+00  4.24846040e+00  1.96649467e+00  2.14366321e+00  8.60318567e-01  9.06053861e-01  5.12122604e-01  3.20352666e-01  4.84140492e-01 -1.08827108e-01
 4.78156300e+00  5.48275173e+01  3.28756602e+00  9.66264416e+01  1.20987742e+01  4.75470413e+01  1.24821368e+01  1.75200578e+01  7.44220235e+00  7.51627581e+00  3.91810041e+00  3.59108982e+00  1.61568981e+00  1.74540683e+00  7.21959032e-01  7.52847618e-01  3.90715846e-01  1.89573641e-01  4.68312524e-01 -1.73639314e-01
 4.83366700e+00  5.00605542e+01  2.06477434e+00  8.87471637e+01  1.02457335e+01  4.33089884e+01  1.09361325e+01  1.56416633e+01  6.43058224e+00  6.53999564e+00  3.29890303e+00  3.00962677e+00  1.31551869e+00  1.40228686e+00  5.97519994e-01  6.19068651e-01  2.93125295e-01  8.84260114e-02  4.55050512e-01 -2.15050031e-01
 4.88577200e+00  4.56262997e+01  1.01124804e+00  8.13910646e+01  8.59880644e+00  3.93980298e+01  9.55324423e+00  1.39428123e+01  5.53494323e+00  5.66876827e+00  2.76757870e+00  2.50620662e+00  1.06550691e+00  1.11527835e+00  4.88301028e-01  5.05104301e-01  2.17149635e-01  1.56212378e-02  4.44103083e-01 -2.33923831e-01
 4.93787600e+00  4.15323878e+01  1.23626476e-01  7.45709972e+01  7.15741660e+00  3.58176562e+01  8.33287427e+00  1.24223836e+01  4.75438617e+00  4.90286988e+00  2.32054086e+00  2.07854046e+00  8.62593104e-01  8.81654910e-01  3.94595013e-01  4.10449640e-01  1.59747598e-01 -3.21116339e-02  4.34830324e-01 -2.33203202e-01
 4.98998000e+00  3.77718325e+01 -6.09828461e-01  6.82773710e+01  5.91062372e+00  3.25569504e+01  7.26627013e+00  1.10713555e+01  4.08232188e+00  4.23757228e+00  1.95007374e+00  1.72078948e+00  7.01727909e-01  6.95810767e-01  3.15827900e-01  3.33844692e-01  1.17476051e-01 -5.93603917e-02  4.26317656e-01 -2.17273622e-01
 5.04208400e+00  3.43274703e+01 -1.20603438e+00  6.24850227e+01  4.84060276e+00  2.95953236e+01  6.33935078e+00  9.87545016e+00  3.50834363e+00  3.66461903e+00  1.64597098e+00  1.42490995e+00  5.76674010e-01  5.50465190e-01  2.50823074e-01  2.73469444e-01  8.68935884e-02 -7.12284249e-02  4.17528333e-01 -1.91166180e-01
 5.09418800e+00  3.11763374e+01 -1.68398497e+00  5.71598785e+01  3.92615960e+00  2.69070915e+01  5.53550868e+00  8.81775294e+00  3.02013817e+00  3.17376274e+00  1.39713540e+00  1.18195118e+00  4.80775867e-01  4.37838310e-01  1.98074268e-01  2.27144613e-01  6.48615543e-02 -7.26139842e-02  4.07465725e-01 -1.59794746e-01
 5.14629300e+00  2.82934532e+01 -2.06227151e+00  5.22646594e+01  3.14568739e+00  2.44653052e+01  4.83792780e+00  7.88094875e+00  2.60512451e+00  2.75413322e+00  1.19288976e+00  9.83102918e-01  4.07609761e-01  3.50593112e-01  1.55975644e-01  1.92532396e-01  4.87356120e-02 -6.76916654e-02  3.95317247e-01 -1.27365918e-01
 5.19839700e+00  2.56547245e+01 -2.35749592e+00  4.77632646e+01  2.47923203e+00  2.22445506e+01  4.23117568e+00  7.04895716e+00  2.25163240e+00  2.39528130e+00  1.02385628e+00  8.20390301e-01  3.51450928e-01  2.82436624e-01  1.22980066e-01  1.67318714e-01  3.64529318e-02 -5.96471510e-02  3.80556424e-01 -9.70347431e-02
 5.25050100e+00  2.32380899e+01 -2.58364331e+00  4.36223809e+01  1.90942952e+00  2.02220151e+01  3.70187519e+00  6.30766542e+00  1.94947653e+00  2.08774023e+00  8.82341451e-01  6.86975879e-01  3.07524064e-01  2.28362223e-01  9.76732784e-02  1.49351206e-01  2.65288715e-02 -5.06405529e-02  3.62985968e-01 -7.07960867e-02
 5.30260500e+00  2.10242407e+01 -2.75204399e+00  3.98125783e+01  1.42182131e+00  1.83780414e+01  3.23890280e+00  5.64524703e+00  1.69017937e+00  1.82332300e+00  7.62393972e-01  5.77231399e-01  2.72089624e-01  1.84643716e-01  7.87984445e-02  1.36736994e-01  1.79940882e-02 -4.19346562e-02  3.42726961e-01 -4.95754738e-02
 5.35470900e+00  1.89964280e+01 -2.87175578e+00  3.63080073e+01  1.00460652e+00  1.66958336e+01  2.83314872e+00  5.05199268e+00  1.46686603e+00  1.59513552e+00  6.59605020e-01  4.86627555e-01  2.42390184e-01  1.48657910e-01  6.52433351e-02  1.27889787e-01  1.02938159e-02 -3.41085784e-02  3.20162943e-01 -3.34391351e-02
 5.40681400e+00  1.71399900e+01 -2.95007825e+00  3.30857172e+01  6.48180402e-01  1.51609190e+01  2.47712963e+00  4.51995114e+00  1.27401795e+00  1.39745744e+00  5.70798417e-01  4.11556083e-01  2.16516552e-01  1.18639002e-01  5.60168217e-02  1.21538062e-01  3.17510072e-03 -2.72895550e-02  2.95858226e-01 -2.18565679e-02
 5.45891800e+00  1.54419895e+01 -2.99303761e+00  3.01252046e+01  3.44666369e-01  1.37607190e+01  2.16462518e+00  4.04256880e+00  1.10720289e+00  1.22558495e+00  4.93710046e-01  3.49149381e-01  1.93239763e-01  9.34330248e-02  5.02286467e-02  1.16705725e-01 -3.41912629e-03 -2.13576844e-02  2.70472023e-01 -1.39601744e-02
 5.51102200e+00  1.38905681e+01 -3.00578226e+00  2.74074664e+01  8.74438325e-02  1.24839190e+01  1.89031499e+00  3.61426731e+00  9.62791077e-01  1.07563191e+00  4.26688990e-01  2.97108971e-01  1.71834971e-01  7.22822065e-02  4.70761100e-02  1.12675526e-01 -9.43954262e-03 -1.60989166e-02  2.44676347e-01 -8.76270760e-03
 5.56312600e+00  1.24747791e+01 -2.99283960e+00  2.49148529e+01 -1.29154180e-01  1.13202641e+01  1.64957535e+00  3.23020341e+00  8.37759891e-01  9.44390019e-01  3.68479792e-01  2.53582196e-01  1.51927840e-01  5.46656489e-02  4.58414031e-02  1.08947412e-01 -1.47957395e-02 -1.13044615e-02  2.19096207e-01 -5.31973411e-03
 5.61523000e+00  1.11843579e+01 -2.95827409e+00  2.26307685e+01 -3.10080022e-01  1.02603219e+01  1.43832268e+00  2.88606067e+00  7.29535723e-01  8.29197625e-01  3.18063071e-01  2.17063642e-01  1.33366128e-01  4.01873645e-02  4.58939514e-02  1.05196497e-01 -1.93995945e-02 -6.82174058e-03  1.94268469e-01 -2.83128852e-03
