R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
2.0000;94779.0587;92465.5773;85298.5378;74017.1697;61326.4599;50090.9749;41573.6061;35571.3258;31580.1461;29746.5935;30718.5759;35045.8149;44107.2779;62539.4187;101482.9312;181764.0683;324077.0130;498818.3332;585453.2287
2.0500;94280.7966;91104.1797;82079.4795;69222.9029;55794.1014;44459.5201;36132.2394;30421.6477;26737.7747;25085.1684;25934.2621;29736.6184;37689.6585;53786.9181;87609.9700;156983.9518;279360.1251;428984.4116;502980.2405
2.1000;89836.7834;86284.9103;76542.7171;63292.6992;49986.8851;39067.0907;31204.3758;25913.9751;22576.7075;21106.9475;21847.8929;25179.4335;32145.4294;46183.7977;75525.9044;135409.9302;240530.6635;368513.0898;431647.2452
2.1500;83125.9044;79513.6395;69785.2348;56889.4272;44238.7646;34040.2222;26797.1476;21991.7116;19012.2922;17719.3547;18364.9045;21275.5397;27364.3912;39589.6547;65014.9344;116651.2561;206853.7910;316209.2312;370019.3961
2.2000;75293.3615;71815.3485;62547.8275;50452.1705;38760.4805;29446.0933;22895.5994;18596.6491;15967.8824;14840.8741;15402.1937;17937.7943;23248.8007;33879.5598;55884.9878;100361.0998;177680.1384;271020.8402;316835.6567
2.2500;67102.0379;63870.5144;55316.2724;44260.3066;33675.7138;25311.0732;19470.9807;15671.5885;13374.7429;12400.0599;12887.0121;15089.5488;19712.2332;28942.6477;47965.5034;86232.2333;152436.9075;232023.4999;270989.5981
2.3000;59043.3858;56115.0977;48395.6218;38480.6191;29047.6312;21634.2381;16486.6496;13162.0299;11171.7235;10334.5492;10755.9008;12663.6054;16678.4916;24680.7778;41105.3468;73993.0243;130619.7128;198406.2146;231511.9817
2.3500;51418.2971;48813.5052;41964.4894;33201.7423;24898.2422;18397.1281;13902.2053;11017.1906;9304.7908;8590.1092;8953.6819;10601.2293;14080.5754;21007.2748;35170.8685;63403.7433;111785.1351;169458.5898;197555.0303
2.4000;44395.7674;42111.5455;36114.4843;28459.1745;21222.3961;15570.7072;11676.3148;9190.5439;7726.4773;7119.7343;7432.5201;8851.2262;11859.7179;17845.7563;30044.1069;54253.1758;95543.9595;144559.2675;168378.2763
2.4500;38055.1840;36074.6125;30878.6562;24253.2979;17997.8026;13120.2544;9768.5858;7640.0230;6395.2960;5882.8083;6151.0594;7369.0902;9964.4957;15129.0489;25621.1351;46355.5331;81555.0569;123165.5317;143335.8723
2.5000;32416.5759;30715.0028;26251.8395;20562.2309;15192.1136;11008.7335;8140.7503;6327.9978;5275.1491;4844.3340;5073.6366;6116.2245;8350.0099;12798.1937;21810.5496;39547.6442;69519.8696;104803.9967;121865.2484
2.5500;27462.0510;26011.2716;22205.0512;17350.8827;12767.8475;9199.0529;6757.3543;5221.1025;4334.7537;3974.2340;4169.5708;5059.2340;6977.1412;10801.5376;18532.0938;33686.4154;59177.4565;89062.2884;103477.0025
2.6000;23150.8114;21921.7837;18695.5462;14577.2311;10685.7393;7655.5246;5586.1027;4289.9704;3547.0964;3246.7218;3412.5269;4169.2870;5811.8740;9093.9090;15715.4099;28646.5397;50300.0557;75581.6334;87745.9114
2.6500;19429.5147;18394.0539;15673.7198;12196.5853;8906.9519;6344.7494;4597.9656;3508.9174;2888.9270;2639.7394;2779.9480;3421.5434;4824.6867;7635.8718;13298.9128;24318.4374;42689.1202;64050.2735;74302.9591
2.7000;16239.2840;15371.0555;13087.7387;10164.3967;7394.4729;5236.0991;3767.1253;2855.6038;2340.2935;2134.4583;2252.5520;2794.6441;3990.0054;6393.0538;11228.7750;20606.4105;36171.7855;54197.6265;62828.2815
2.7500;13520.3247;12795.3627;10886.5481;8438.0354;6113.9343;4301.9203;3070.8230;2310.6910;1884.1215;1714.8390;1813.8883;2270.2587;3285.7154;5335.5446;9458.0172;17426.9927;30597.7301;45789.1195;53044.9362
2.8000;11214.8477;10611.7605;9021.7315;6977.8378;5034.0313;3517.5511;2489.1441;1857.5106;1505.8361;1367.2440;1449.9477;1832.6846;2692.7259;4437.3567;7945.6942;14707.4785;25836.3901;38621.6278;44713.4109
2.8500;9268.8100;8768.7838;7448.5709;5747.6494;4126.6684;2861.2160;2004.7730;1481.7499;1193.0258;1080.0995;1148.8215;1468.4944;2194.5842;3675.9448;6656.1680;12384.6144;21774.4937;32519.4535;37626.7912
2.9000;7632.8409;7219.5214;6126.5588;4715.0266;3366.9251;2313.8467;1602.7365;1171.1618;935.1451;843.6002;900.4040;1166.2260;1777.1345;3031.7792;5558.4617;10403.4371;18313.8829;27330.7889;31606.5172
2.9500;6262.6203;5921.9244;5019.5443;3851.2115;2732.9073;1858.8619;1270.1486;915.2999;723.2527;649.4535;696.1342;916.1120;1428.2167;2487.9671;4625.6846;8716.2442;15369.5923;22924.6091;26498.6614
3.0000;5118.8977;4838.7925;4095.6421;3130.9661;2205.5329;1481.9294;995.9675;705.2795;549.7836;490.6577;528.7713;709.8426;1137.4014;2029.9171;3834.5241;7281.6838;12868.1573;19187.9479;22170.6710
3.0500;4167.2866;3937.5577;3326.9964;2532.3232;1768.2812;1170.7252;770.7679;533.5650;408.3489;361.3108;392.2015;540.3601;895.7580;1645.0441;3164.7948;6063.9515;10746.1275;16023.5111;18508.5186
3.1000;3377.9265;3189.9511;2689.4633;2036.2939;1406.9322;914.7013;586.5321;393.7812;293.5639;256.4458;281.2707;401.6800;695.6510;1322.5084;2599.0416;5032.0815;8948.7610;13347.5911;15414.2151
3.1500;2725.0770;2571.6108;2162.2548;1626.5607;1109.3073;704.8662;436.4620;280.5477;200.8985;171.8892;191.6412;288.7364;530.5625;1052.9872;2122.1894;4159.3244;7428.8811;11088.2449;12803.6414
3.2000;2186.6867;2061.6690;1727.5739;1289.1734;865.0221;533.5836;314.8105;189.3344;126.5483;104.1400;119.6679;197.2477;394.9374;828.4732;1721.2351;3422.5998;6145.8744;9183.7057;10604.6601
3.2500;1743.9653;1642.3440;1370.2595;1012.2587;665.2576;394.3903;216.7327;116.3352;67.3247;50.2661;62.2931;123.6016;284.0483;642.0992;1384.9772;2802.0158;5064.8167;7580.9994;8755.4732
3.3000;1380.9750;1298.5526;1077.4510;785.7513;502.5502;281.8326;138.1547;58.3599;20.5593;7.8157;16.9558;64.7553;193.8792;487.9839;1103.7784;2280.4489;4155.7081;6234.7407;7203.1955
