R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
2.0000;143197.0510;136911.1157;119870.5619;96938.7617;73950.0413;55073.4899;41760.9617;33549.3506;29285.3794;27854.0441;28501.1796;31186.4641;37364.6772;51787.4094;86200.8350;162678.1062;300577.6131;466182.8821;546277.0352
2.0500;122393.1803;116980.6886;102323.5757;82635.6688;62943.5051;46811.5337;35458.4573;28467.0644;24844.2880;23649.6752;24275.5719;26754.4388;32441.6347;45578.3854;76406.6795;143711.9839;263212.4618;405132.4094;473375.5486
2.1000;104529.6491;99872.6034;87274.3403;70382.4236;53524.0437;39744.8804;30067.4557;24117.5712;21040.5971;20043.0550;20635.8522;22901.7009;28090.2714;39969.8793;67445.7646;126477.9824;229799.9363;351224.6713;409292.1606
2.1500;89199.4336;85195.3987;74374.6189;59891.4303;45467.9845;33705.0928;25460.2688;20399.2191;17786.8539;16953.4678;17505.7755;19559.5010;24256.8835;34932.2720;59308.3054;110922.1327;200064.5617;303791.2176;353135.6198
2.2000;76050.9253;72611.0190;63323.9349;50914.7768;38582.6170;28546.9699;21526.6125;17223.9616;15007.0807;14310.5177;14818.2951;16666.1046;20890.2717;30430.1501;51966.3772;96962.6092;173714.7386;262188.5040;304066.5180
2.2500;64780.4891;61827.6274;53863.1099;43238.8324;32701.9703;24145.3995;18171.2951;14515.6036;12635.3448;12052.8966;12514.5715;14166.2930;17942.2704;26424.8259;45379.8385;84499.9515;150455.1610;225807.6667;261304.3631
2.3000;55126.0095;52593.3743;45768.6651;36679.5737;27683.1586;20392.6309;15312.2050;12208.2642;10614.4945;10127.2860;10543.0662;12010.8514;15368.0553;22876.2225;39500.8576;73424.7656;129995.6793;194080.4788;224130.9787
2.3500;46861.2944;44690.9964;38847.9737;31078.5398;23403.2201;17195.9109;12878.5594;10245.0306;8895.0449;8487.3778;8858.7178;10156.0584;13126.2858;19744.2576;34277.3324;63623.4392;112057.4212;166482.4620;191891.2295
2.4000;39791.2243;37933.1367;32935.0633;26299.3334;19756.3828;14475.4365;10809.3819;8576.7799;7434.1959;7093.0064;7422.1971;8563.1895;11179.1238;16989.8355;29655.4345;54982.3040;96376.8174;142533.9143;163991.8489
2.4500;33747.5485;32158.2902;27886.9827;22224.5952;16651.7008;12162.5827;9052.1790;7161.1503;6194.9694;5909.3785;6199.2357;7198.0412;9492.1639;14575.5332;25581.4663;47390.5882;82708.0420;121799.4426;139898.9617
2.5000;28585.2426;27227.2913;23580.6581;18753.3881;14011.0108;10198.3675;7561.7906;5961.6426;5145.4516;4906.3936;5160.0236;6030.4825;8034.3008;12466.0513;22003.1814;40742.4365;70824.2706;103886.4565;119134.7573
2.5500;24179.3535;23020.2735;19910.1721;15798.9356;11767.1666;8532.1254;6299.3931;4946.8367;4258.1291;4058.0434;4278.6700;5034.0343;6777.5555;10628.4847;18870.6898;34938.2168;60518.0703;88442.9697;101273.6520
2.6000;20422.2673;19434.0369;16784.4118;13286.6683;9862.5136;7120.3586;5231.6333;4089.7092;3509.3076;3341.8837;3532.7233;4185.4812;5696.8745;9032.4578;16137.0436;29885.2867;51601.1660;75154.9727;85938.1962
2.6500;17221.3442;16379.7696;14125.0336;11152.5359;8247.5719;5925.7450;4329.8790;3367.0388;2878.6037;2738.5702;2902.7433;3464.5141;4769.9162;7650.1597;13758.5810;25498.3577;43903.7732;63743.5739;72794.9097
2.7000;14496.8709;13781.0772;11864.7050;9341.5492;6879.8986;4916.2808;3569.5689;2758.8903;2348.5014;2231.4508;2371.9230;2853.4038;3976.8313;6456.3062;11695.0893;21699.5649;37273.6419;53962.0522;61550.1787
2.7500;12180.2897;11572.2771;9945.5843;7806.5214;5723.1070;4064.5395;2929.6496;2248.1650;1903.9649;1806.2092;1925.7532;2336.7049;3300.0454;5428.0503;9909.8336;18418.3249;31574.9201;45592.9265;51946.3039
2.8000;10212.6662;9696.9248;8318.0077;6506.9821;4746.0193;3347.0326;2392.0894;1820.2117;1532.1021;1450.5521;1551.7266;1900.9883;2724.0478;4544.8587;8369.4909;15591.0482;26686.9221;38445.1145;43757.7618
2.8500;8543.3644;8106.5390;6939.3549;5408.2394;3921.9368;2743.6576;1941.4568;1462.4881;1221.8713;1153.9371;1239.0779;1534.5998;2235.1899;3788.3659;7044.0163;13160.7545;22502.8592;32351.2292;36787.7146
2.9000;7128.9010;6759.5008;5773.0700;4480.5717;3228.0097;2237.2218;1564.5564;1164.2684;963.8263;907.3348;978.5543;1227.4454;1821.4951;3142.2165;5906.4654;11076.6305;18928.5785;27165.0448;30864.7883
2.9500;5931.9565;5620.1017;4787.8161;3698.5301;2644.6952;1813.0319;1250.1153;916.3896;749.8957;703.0217;762.2151;970.7978;1472.4822;2591.9028;4932.7902;9293.5564;15881.3404;22759.1487;25840.1249
3.0000;4920.5192;4657.7222;3956.7457;3040.3376;2155.2894;1458.5402;988.5113;711.0321;573.1909;534.4001;583.2558;757.1254;1179.0016;2124.6026;4101.6191;7771.6239;13288.6545;19022.7871;21584.7069
3.0500;4067.1471;3846.1224;3256.8722;2487.3711;1745.5248;1163.0395;771.5390;541.5301;427.8403;395.8417;435.8540;579.9406;933.0858;1729.0216;3394.0340;6475.6590;11087.1879;15859.9037;17986.9436
